Instance,PartyOptimized,Strategy,MaxReps,TimeSec,Status,Models,ClingoReturnCode,RawOptValue
instance_059_m5n4k3_clustered_extra25.lp,0,default,3,0.018,OPTIMUM_FOUND,2,30,-3
instance_059_m5n4k3_clustered_extra25.lp,1,default,2,0.224,OPTIMUM_FOUND,1,30,-2
instance_060_m6n5k4_checkerboard_extra26.lp,0,default,4,0.022,OPTIMUM_FOUND,2,30,-4
instance_060_m6n5k4_checkerboard_extra26.lp,1,default,3,300.018,CLINGO_TIMEOUT_INTERRUPT,1+,11,-3
instance_060_m8n8k5_checkerboard_extra26.lp,0,default,5,0.057,OPTIMUM_FOUND,2,30,-5
instance_060_m8n8k5_checkerboard_extra26.lp,1,default,4,300.013,CLINGO_TIMEOUT_INTERRUPT,3+,11,-4
instance_061_m4n3k2_checkerboard_extra27.lp,0,default,2,0.019,OPTIMUM_FOUND,2,30,-2
instance_061_m4n3k2_checkerboard_extra27.lp,1,default,1,0.013,OPTIMUM_FOUND,1,30,-1
instance_061_m5n4k3_clustered_extra27.lp,0,default,3,0.019,OPTIMUM_FOUND,2,30,-3
instance_061_m5n4k3_clustered_extra27.lp,1,default,2,0.738,OPTIMUM_FOUND,1,30,-2
instance_062_m4n4k3_clustered_extra28.lp,0,default,2,0.240,OPTIMUM_FOUND,2,30,-2
instance_062_m4n4k3_clustered_extra28.lp,1,default,2,0.438,OPTIMUM_FOUND,1,30,-2
instance_062_m5n5k3_clustered_extra28.lp,0,default,2,21.341,OPTIMUM_FOUND,2,30,-2
instance_062_m5n5k3_clustered_extra28.lp,1,default,3,0.014,OPTIMUM_FOUND,3,30,-3
instance_063_m4n3k2_checkerboard_extra29.lp,0,default,2,0.011,OPTIMUM_FOUND,2,30,-2
instance_063_m4n3k2_checkerboard_extra29.lp,1,default,1,0.013,OPTIMUM_FOUND,1,30,-1
instance_063_m4n3k2_clustered_extra29.lp,0,default,1,0.018,OPTIMUM_FOUND,1,30,-1
instance_063_m4n3k2_clustered_extra29.lp,1,default,2,0.011,OPTIMUM_FOUND,1,30,-2
instance_064_m5n4k3_clustered_extra30.lp,0,default,3,0.018,OPTIMUM_FOUND,2,30,-3
instance_064_m5n4k3_clustered_extra30.lp,1,default,2,0.798,OPTIMUM_FOUND,1,30,-2
instance_064_m5n4k3_random_extra30.lp,0,default,2,2.562,OPTIMUM_FOUND,2,30,-2
instance_064_m5n4k3_random_extra30.lp,1,default,2,4.453,OPTIMUM_FOUND,1,30,-2
instance_065_m10n10k6_clustered_extra31.lp,0,default,6,0.208,OPTIMUM_FOUND,3,30,-6
instance_065_m10n10k6_clustered_extra31.lp,1,default,5,300.014,CLINGO_TIMEOUT_INTERRUPT,4+,11,-5
instance_065_m5n4k3_clustered_extra31.lp,0,default,3,0.021,OPTIMUM_FOUND,2,30,-3
instance_065_m5n4k3_clustered_extra31.lp,1,default,2,0.569,OPTIMUM_FOUND,1,30,-2
